region_id,island,beach_id,beach_name,status,lat,lon,osm_status,osm_url,osm_nearest_m,osm_center_m,osm_name_score,nominatim_status,nominatim_osm_type,nominatim_osm_id,nominatim_distance_m,nominatim_score,nominatim_name_score,nominatim_display_name
south-aegean-naxos,Naxos,1981,Αγία Άννα,needs_review_nominatim,37.0689603,25.3544164,,,,,,needs_review_nominatim,way,237830217,41,62,9,"Παραλία Αγίας Άννας, Μάραγκας, Αγία Αννα, Δήμος Νάξου και Μικρών Κυκλάδων, Περιφερειακή Ενότητα Νάξου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, 843 00, Ελλάς"
south-aegean-naxos,Naxos,1982,Αγιασσός,no_map_evidence,36.96577,25.42525,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,1983,Άγιοι Θεόδωροι,no_map_evidence,37.18601,25.49312,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,1984,Άγιος Γεώργιος,no_map_evidence,37.0970546,25.374024,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,1985,Άγιος Προκόπιος,needs_review_nominatim,37.0751814,25.3469334,,,,,,needs_review_nominatim,relation,453120,185,45,9,"Παραλία Αγίου Προκοπίου, Στελίδα, Άγιος Προκόπιος, Δήμος Νάξου και Μικρών Κυκλάδων, Περιφερειακή Ενότητα Νάξου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, 843 00, Ελλάς"
south-aegean-naxos,Naxos,1986,Αζαλάς,no_map_evidence,37.08723,25.59207,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,1987,Αλυκό,needs_review_nominatim,36.978496,25.3901518,,,,,,needs_review_nominatim,way,521229662,386,26,0,"Paralia Alyko, Δήμος Νάξου και Μικρών Κυκλάδων, Περιφερειακή Ενότητα Νάξου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
south-aegean-naxos,Naxos,1988,Αμμίτης,no_map_evidence,37.1363228,25.4360475,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,1989,Άμπραμ,needs_review_nominatim,37.1734014,25.4799167,,,,,,needs_review_nominatim,way,499712060,52,77,50,"Παραλία Αμπραμ, Ταξιάρχης, Δήμος Νάξου και Μικρών Κυκλάδων, Περιφερειακή Ενότητα Νάξου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, 843 01, Ελλάς"
south-aegean-naxos,Naxos,1990,Απόλλωνας,no_map_evidence,37.18008,25.55343,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,1991,Βίντζι,verified_osm_source,37.1080152,25.3741037,verified_osm_source,https://www.openstreetmap.org/way/1204646781,16,5,0,not_checked_nominatim,,,,,,
south-aegean-naxos,Naxos,1992,Γλατζά,verified_osm_source,37.1373729,25.4395072,verified_osm_source,https://www.openstreetmap.org/way/500669911,14,19,50,not_checked_nominatim,,,,,,
south-aegean-naxos,Naxos,1993,Γλυφάδα,needs_review_nominatim,36.9925912,25.3906469,,,,,,needs_review_nominatim,way,363516715,115,71,33,"Glyfada Beach, Καστράκι, Δήμος Νάξου και Μικρών Κυκλάδων, Περιφερειακή Ενότητα Νάξου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, 843 02, Ελλάς"
south-aegean-naxos,Naxos,1994,Γρόττα,no_map_evidence,37.1079,25.377,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,1995,Παραλία Καλαντός,needs_review_nominatim,36.93636,25.47184,,,,,,needs_review_nominatim,way,52968044,168,65,67,"Παραλία Καλαντός, Καλαντός, Δήμος Νάξου και Μικρών Κυκλάδων, Περιφερειακή Ενότητα Νάξου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, 843 02, Ελλάς"
south-aegean-naxos,Naxos,1996,Κάμπος,no_map_evidence,37.1645444,25.4770917,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,1997,Καστράκι,needs_review_nominatim,37.0010969,25.3878136,,,,,,needs_review_nominatim,way,521234172,5,71,33,"Παραλία Καστράκι, Καστράκι, Δήμος Νάξου και Μικρών Κυκλάδων, Περιφερειακή Ενότητα Νάξου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, 843 02, Ελλάς"
south-aegean-naxos,Naxos,1998,Κέδρος,needs_review_nominatim,36.983778,25.3858679,,,,,,needs_review_nominatim,way,1199277981,41,71,33,"Kedros Beach, Δήμος Νάξου και Μικρών Κυκλάδων, Περιφερειακή Ενότητα Νάξου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
south-aegean-naxos,Naxos,1999,Κλειδός,verified_osm_source,36.9900595,25.5596689,verified_osm_source,https://www.openstreetmap.org/way/404481267,10,20,0,not_checked_nominatim,,,,,,
south-aegean-naxos,Naxos,2000,Παραλία Κλειδώ,verified_osm_source,36.9870224,25.559867,verified_osm_source,https://www.openstreetmap.org/way/1157948744,21,10,100,not_checked_nominatim,,,,,,
south-aegean-naxos,Naxos,2001,Λιγαρίδια,no_map_evidence,37.07514,25.58479,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,2002,Παραλία Λιμνάρι,verified_nominatim_nearby,37.12539,25.5913,,,,,,verified_nominatim_nearby,way,1203421310,3,94,100,"Παραλία Λιμνάρι, Λιώνας, Δήμος Νάξου και Μικρών Κυκλάδων, Περιφερειακή Ενότητα Νάξου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, 843 01, Ελλάς"
south-aegean-naxos,Naxos,2003,Λίωνας,needs_review_nominatim,37.13763,25.58656,,,,,,needs_review_nominatim,way,1203421310,1427,10,6,"Παραλία Λιμνάρι, Λιώνας, Δήμος Νάξου και Μικρών Κυκλάδων, Περιφερειακή Ενότητα Νάξου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, 843 01, Ελλάς"
south-aegean-naxos,Naxos,2004,Μελινό,verified_osm_source,37.19107,25.50454,verified_osm_source,https://www.openstreetmap.org/way/209107838,9,11,100,not_checked_nominatim,,,,,,
south-aegean-naxos,Naxos,2005,Μικρά,no_map_evidence,37.16004,25.47072,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,2006,Μικρή Βίγλα,no_map_evidence,37.0281944,25.370271,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,2007,Μικρή Βίγλα - Νότια πλευρά,verified_osm_source,37.0157838,25.3769012,verified_osm_source,https://www.openstreetmap.org/way/363516878,53,261,57,not_checked_nominatim,,,,,,
south-aegean-naxos,Naxos,2008,Μικρό Αλυκό,no_map_evidence,36.9767717,25.3865821,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,2009,Μουτσούνα,no_map_evidence,37.0779637,25.5869804,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,2010,Όρκος,no_map_evidence,37.0325297,25.3731885,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,2011,Πάνορμος,no_map_evidence,36.95854,25.53871,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,2012,Πλάκα,no_map_evidence,37.050381,25.3660008,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,2013,Πυργάκι,no_map_evidence,36.97623,25.40015,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,2014,Ρίνα,no_map_evidence,36.94751,25.49,,,,,,no_map_evidence,,,,,,
south-aegean-naxos,Naxos,2015,Παραλία Σπεδό,verified_nominatim_nearby,36.95472,25.50782,,,,,,verified_nominatim_nearby,way,499732681,15,94,100,"Παραλία Σπεδό, Δήμος Νάξου και Μικρών Κυκλάδων, Περιφερειακή Ενότητα Νάξου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
south-aegean-naxos,Naxos,2016,Χίλια Βρύση,verified_osm_source,37.1567643,25.4694392,verified_osm_source,https://www.openstreetmap.org/way/1336837770,5,2,0,not_checked_nominatim,,,,,,
south-aegean-naxos,Naxos,2017,Παραλία Ψιλή Άμμος,verified_nominatim_nearby,37.01422,25.56847,,,,,,verified_nominatim_nearby,way,404481302,9,80,60,"Παραλία Ψιλή Άμμος, Κανάκι, Δήμος Νάξου και Μικρών Κυκλάδων, Περιφερειακή Ενότητα Νάξου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
south-aegean-naxos,Naxos,2018,Παραλία Ψωφαγριλιά,verified_nominatim_nearby,37.10381,25.59389,,,,,,verified_nominatim_nearby,way,1194224878,1,94,100,"Παραλία Ψωφαγριλιά, Δήμος Νάξου και Μικρών Κυκλάδων, Περιφερειακή Ενότητα Νάξου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
south-aegean-naxos,Naxos,2019,Hawaii,needs_review_nominatim,36.9805992,25.3863595,,,,,,needs_review_nominatim,way,972954399,40,71,33,"Hawaii Beach, Δήμος Νάξου και Μικρών Κυκλάδων, Περιφερειακή Ενότητα Νάξου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
