region,prefecture,place,index,name,accessType,confidence
Attica,East Attica,East Attica (mainland),6,Θέρετρο Αξιωματικών Ναυτικού,asphalt_road,low
Attica,East Attica,East Attica (mainland),18,Ερωτοσπηλιά,asphalt_road,low
Attica,East Attica,East Attica (mainland),21,Αυλάκι,asphalt_road,low
Attica,East Attica,East Attica (mainland),51,Παραλία Λεγραινών,asphalt_road,low
Attica,Islands (Saronic & Kythira),Aegina,0,Παραλία Βαγίας,asphalt_road,low
Attica,Islands (Saronic & Kythira),Aegina,10,Παραλία Μαραθώνα Α,asphalt_road,low
Attica,Islands (Saronic & Kythira),Aegina,11,Παραλία Μαραθώνα Β,asphalt_road,low
Attica,Islands (Saronic & Kythira),Aegina,14,Σουβάλα,asphalt_road,low
Attica,Islands (Saronic & Kythira),Agistri,3,Παραλία Μεγαλοχωρίου,asphalt_road,low
Attica,Islands (Saronic & Kythira),Agistri,4,Σκληρή,unknown,low
Attica,Islands (Saronic & Kythira),Hydra,1,Αυλάκι,unknown,low
Attica,Islands (Saronic & Kythira),Hydra,2,Καμίνια,unknown,low
Attica,Islands (Saronic & Kythira),Hydra,7,Πλάκες,unknown,low
Attica,Islands (Saronic & Kythira),Hydra,8,Σπηλιά,unknown,low
Attica,Islands (Saronic & Kythira),Poros,0,Λιμανάκι της Αγάπης,asphalt_road,low
Attica,Islands (Saronic & Kythira),Poros,1,Άγιος Στέφανος,asphalt_road,low
Attica,Islands (Saronic & Kythira),Poros,2,Αλυκή,asphalt_road,low
Attica,Islands (Saronic & Kythira),Poros,4,Βαγιονιά,asphalt_road,low
Attica,Islands (Saronic & Kythira),Poros,6,Μεγάλο Νεώριο,asphalt_road,low
Attica,Islands (Saronic & Kythira),Poros,7,Μικρό Νεώριο,asphalt_road,low
Attica,Islands (Saronic & Kythira),Poros,10,Πλάκα,asphalt_road,low
Attica,Islands (Saronic & Kythira),Salamina,0,Μικρό Λαμπρανό,unknown,low
Attica,Islands (Saronic & Kythira),Salamina,1,Παραλία Αγίου Νικολάου,asphalt_road,low
Attica,Islands (Saronic & Kythira),Salamina,2,Παραλία Κανάκια,asphalt_road,low
Attica,Islands (Saronic & Kythira),Spetses,2,Άγιοι Ανάργυροι,asphalt_road,low
Attica,Islands (Saronic & Kythira),Spetses,3,Άγιος Μάμας,asphalt_road,low
Attica,Islands (Saronic & Kythira),Spetses,9,Μεγάλη Ζωγερία,asphalt_road,low
Attica,Islands (Saronic & Kythira),Spetses,10,Μικρή Ζωγεριά,unknown,low
Attica,West Attica,West Attica (mainland),1,Παραλία Κινέτας,asphalt_road,low
Attica,West Attica,West Attica (mainland),2,Παραλία Πόρτο Γερμενό,asphalt_road,low
Attica,West Attica,West Attica (mainland),4,Προσήλι,asphalt_road,low
Central Macedonia,Halkidiki,Halkidiki (mainland),25,Kakoudia,asphalt_road,low
Crete,Chania,Crete (Chania),64,Aspri Limni,asphalt_road,low
Crete,Chania,Crete (Chania),67,Chrysi Akti,asphalt_road,low
Ionian Islands,Corfu,Corfu,28,Άγιος Ιωάννης Περιστερών,asphalt_road,low
Ionian Islands,Corfu,Corfu,33,Αστρακερή,asphalt_road,low
Ionian Islands,Corfu,Corfu,39,Κανόνι,asphalt_road,low
Ionian Islands,Corfu,Corfu,40,Καρδάκι,unknown,low
Ionian Islands,Corfu,Corfu,46,Μανδράκι,asphalt_road,low
Ionian Islands,Corfu,Corfu,48,Μπουκάρη,asphalt_road,low
Ionian Islands,Corfu,Corfu,54,Παραλία Άγιος Σπυρίδωνας,asphalt_road,low
Ionian Islands,Corfu,Corfu,55,Παραλία Έρμονες,asphalt_road,low
Ionian Islands,Corfu,Corfu,57,Παραλία Αμπελάκι,asphalt_road,low
Ionian Islands,Corfu,Corfu,58,Παραλία Αρκουδίλα,unknown,low
Ionian Islands,Corfu,Corfu,65,Παραλία Κοντοκαλίου,asphalt_road,low
Ionian Islands,Corfu,Corfu,66,Παραλία Λίμνη,unknown,low
Ionian Islands,Corfu,Corfu,68,Παραλία Λιαπάδων,asphalt_road,low
Ionian Islands,Corfu,Corfu,72,Παραλία ΝΑΟΚ,asphalt_road,low
Ionian Islands,Corfu,Corfu,81,Παραλία Μυρτιώτισσας,unknown,low
Ionian Islands,Corfu,Corfu,84,Πετριτή,asphalt_road,low
Ionian Islands,Corfu,Corfu,85,Πρασούδι,asphalt_road,low
Ionian Islands,Corfu,Corfu,87,Ροβινιά,unknown,low
Ionian Islands,Corfu,Paxos,3,Αυλάκι,asphalt_road,low
Ionian Islands,Corfu,Paxos,5,Γαλάζιο,unknown,low
Ionian Islands,Corfu,Paxos,13,Κιπιάδι,asphalt_road,low
Ionian Islands,Corfu,Paxos,15,Λάκκος,asphalt_road,low
Ionian Islands,Corfu,Paxos,16,Λεβρεχιό,unknown,low
Ionian Islands,Corfu,Paxos,17,Μαρμάρι,unknown,low
Ionian Islands,Corfu,Paxos,21,Ορκός,unknown,low
Ionian Islands,Corfu,Paxos,22,Πλάνος,unknown,low
Ionian Islands,Ithaca,Ithaca,5,Παραλία Φιλιατρό,asphalt_road,low
Ionian Islands,Kefalonia,Kefalonia,51,Μύρτος,asphalt_road,low
Ionian Islands,Lefkada,Lefkada,16,Βασιλική,asphalt_road,low
Ionian Islands,Lefkada,Lefkada,33,Πόρτο Κάτσικι,unknown,low
Thessaly,Magnesia (Sporades),Skiathos,16,Μεγάλος Ασέληνος,asphalt_road,low
Thessaly,Magnesia (Sporades),Skiathos,20,Ξάνεμο,unknown,low
